Time,Elapsed,NVB,CTL 0 nM,TXL 5 nM,Dox 100 nM,TXL 10 nM,Dox 50 nM,TXL 20 nM,Dox 25 nM,TXL 40 nM,Dox 12.5 nM,NVB 40 nM,Cis 100000 nM,NVB 20 nM,Cis 50000 nM,NVB 10 nM,Cis 25000 nM,NVB 5 nM,Cis 12500 nM,blank
9/16/16 16:00,0,9.870815,11.25624,12.04545,11.29737,11.95928,10.98869,11.18065,12.96272,12.13433,12.73592,11.34183,10.89334,11.54255,11.10031,11.08345,10.54147,11.93946,10.35882,0.1990943
9/16/16 18:00,2,10.21972,12.20865,13.04931,12.12556,11.98833,11.49687,11.1557,13.08375,12.63455,12.6963,11.7844,11.29995,12.0601,11.28574,11.48502,11.12627,12.57195,10.97371,0.5555091
9/16/16 20:00,4,11.10118,13.40131,13.0724,12.10616,12.05109,12.65194,10.71725,13.43122,11.80292,13.15675,11.68563,11.54123,11.87703,11.76128,12.51557,11.69193,13.02044,11.60235,0.3023797
9/16/16 22:00,6,11.81959,13.51307,13.5602,12.75063,12.68645,13.29194,11.14525,14.30789,12.15286,14.17092,11.74327,12.18438,12.40692,11.97825,13.10204,12.47885,13.69304,11.75838,0.7443097
9/17/16 0:00,8,12.5632,15.33426,14.6661,13.09528,13.19005,13.99777,12.15644,15.88322,12.37526,15.45707,12.67564,11.77046,12.98163,12.54926,13.84196,12.52253,14.90568,12.24335,0.3099268
9/17/16 2:00,10,13.01889,16.33192,15.62257,13.41452,14.372,14.67072,12.44103,16.3604,13.13342,15.99726,12.9297,11.9652,13.87321,12.7736,14.54932,13.062,15.77011,12.75598,0.6483819
9/17/16 4:00,12,14.11134,17.83642,16.13705,14.4376,15.65942,15.53798,13.53059,18.09228,13.98818,16.84079,13.32915,12.00079,14.56977,12.65566,16.12194,13.3684,17.27284,13.52146,
9/17/16 6:00,14,14.74184,19.11061,17.66085,14.21382,16.9533,16.08679,13.96394,18.14898,14.52076,17.84439,13.60815,12.2784,15.2162,12.59929,16.72912,13.36221,16.99662,13.94537,
9/17/16 8:00,16,15.60037,20.4191,18.94189,15.31021,17.42892,16.32278,16.18777,20.3562,15.2318,19.20913,14.62811,12.76145,16.35961,12.48759,17.80872,13.62638,18.48583,14.42645,
9/17/16 10:00,18,15.82203,21.92589,20.82399,16.46657,19.51112,18.86446,17.21208,22.20922,16.90002,21.19817,16.08201,12.77343,17.88199,12.8435,20.04312,13.82224,19.98822,14.83101,
9/17/16 12:00,20,17.33963,22.90059,22.2356,17.60258,21.59997,19.62979,18.07904,22.75256,17.97487,22.52815,16.83713,12.48223,18.79893,12.7949,20.78234,15.53604,22.05886,16.15226,
9/17/16 14:00,22,19.44855,24.40193,23.14357,17.96599,21.63232,20.27551,19.15601,24.80774,19.79384,23.83863,17.91799,12.23883,20.30398,12.9606,22.81061,15.38462,23.06247,16.95387,
9/17/16 16:00,24,19.53451,24.66908,24.11782,18.21212,22.8328,21.3544,20.52027,26.65285,20.14077,24.77286,18.76692,11.87046,20.7233,13.52124,23.33178,16.17757,23.77263,17.93447,
9/17/16 18:00,26,20.68831,27.16397,24.03182,18.87791,22.20526,21.80023,20.6183,26.58434,20.79224,25.78652,19.59371,11.97007,21.46892,14.16891,24.74541,15.43885,25.16816,17.00897,
9/17/16 20:00,28,20.86512,29.88136,25.13916,19.13722,23.61117,22.98362,20.53201,28.58131,21.24997,26.62882,19.14684,12.46472,22.77999,14.5091,25.42333,16.16306,26.1676,18.17311,
9/17/16 22:00,30,21.39342,31.35265,27.22114,19.27815,24.17707,23.4583,22.10587,29.70246,21.94539,28.83759,20.35293,12.62104,22.61662,14.42641,26.60893,15.69574,27.11153,18.00004,
9/18/16 0:00,32,22.2596,33.62909,27.73794,19.94172,25.5788,25.17518,21.79994,31.44498,21.90361,30.90153,20.99557,12.94048,23.12258,14.49381,27.80213,16.70819,28.34738,18.65547,
9/18/16 2:00,34,22.6259,37.0245,28.35878,20.39323,26.0694,26.11144,22.39776,31.11399,23.43378,31.68757,20.07148,12.82983,24.402,14.5368,29.63686,16.59539,30.70344,18.36589,
9/18/16 4:00,36,23.19217,36.63699,29.86083,21.42465,28.01169,26.97237,22.99989,34.89067,21.72662,34.24371,21.94102,13.7421,25.27923,14.72417,30.51001,16.91924,31.97564,18.77887,
9/18/16 6:00,38,23.39089,41.30482,31.49234,22.24556,28.41809,27.54246,22.77196,37.07537,22.58083,35.92378,21.79384,14.6136,26.75827,15.67081,33.71895,17.19908,33.51598,19.42732,
9/18/16 8:00,40,24.6148,40.09398,32.84374,22.32233,28.20704,28.70025,23.20191,38.06427,23.7136,38.74621,22.08677,13.54088,27.02674,15.34389,34.01419,17.48406,35.59549,19.46714,
9/18/16 10:00,42,25.00654,45.32524,33.88375,22.79399,29.70975,29.95569,24.88834,42.20341,23.95892,40.69269,22.82265,14.01679,29.62731,15.51873,36.31946,17.691,36.45567,20.14965,
9/18/16 12:00,44,26.09937,48.99107,35.97882,24.40836,31.50317,31.02827,24.38863,43.15244,25.57042,44.41978,24.53671,16.03311,30.4169,16.36721,38.58587,17.98772,42.73848,20.62582,
9/18/16 14:00,46,27.73304,49.7546,37.0485,23.70429,32.08655,33.38629,25.65192,46.02444,25.30844,44.56531,24.35891,14.50033,32.51465,16.50941,42.2635,18.23267,43.19646,22.14871,
9/18/16 16:00,48,29.4625,55.00037,38.87776,25.3842,33.30345,34.4981,25.51475,50.47433,25.89413,47.53505,25.96742,16.21843,33.50708,15.99513,44.84201,18.09878,46.19016,21.87067,
9/18/16 18:00,50,29.88344,57.16531,41.8192,26.24742,33.29999,35.62469,25.72988,51.47927,26.04119,51.44603,25.49454,14.97432,35.01524,16.1106,46.01512,19.6086,46.39032,21.43259,
9/18/16 20:00,52,30.21454,59.92787,41.54865,27.35852,34.8158,38.01241,26.96795,54.52657,26.16723,53.33632,26.94215,15.33358,35.83419,15.85056,47.10091,19.50523,52.90632,24.3539,
9/18/16 22:00,54,30.4557,61.18116,43.3011,28.41053,35.0457,39.86074,27.71851,58.73814,26.11041,58.39229,27.77288,17.23206,37.01287,16.80962,52.02171,20.27182,57.79312,23.95994,
9/19/16 0:00,56,31.26864,66.75291,44.30643,28.13781,36.87252,43.27192,28.9549,62.20754,25.46013,62.39356,27.96557,14.96582,39.2326,16.94073,56.04844,19.68398,57.9375,25.00568,
9/19/16 2:00,58,33.66693,68.49783,46.8694,30.6945,37.31522,45.08791,28.08592,64.43073,26.05083,65.71633,28.12737,16.18154,40.8437,16.52697,59.20642,20.59684,63.09768,25.66764,
9/19/16 4:00,60,34.4507,70.94317,49.44723,30.43474,38.61386,47.25075,27.87456,67.71443,26.31134,67.21667,28.95084,17.33868,41.50081,17.85701,61.17904,21.28358,65.64017,26.18939,
9/19/16 6:00,62,33.60171,76.36773,51.55024,30.34806,40.41298,49.02995,30.00614,68.96917,26.43417,69.55777,30.76978,17.28448,43.54591,17.47912,66.08127,21.75826,69.60301,27.46788,
9/19/16 8:00,64,32.73794,80.86139,50.93041,31.77968,40.87369,50.20219,29.95614,73.45135,26.38933,73.99662,29.90727,18.05779,43.63978,17.66381,67.60524,21.16313,68.79169,27.39304,
9/19/16 10:00,66,35.11834,81.95855,55.50737,35.75724,43.39523,53.1986,31.77721,78.08096,28.29501,75.39224,33.17464,18.54634,46.85368,18.52881,73.36695,22.69508,76.53796,30.7214,
9/19/16 12:00,68,36.2196,85.08865,56.04586,35.83146,43.36178,55.11288,32.34039,78.38671,29.23775,79.63512,33.47477,17.66453,48.84406,19.07743,72.76171,23.45221,76.92802,30.89167,
9/19/16 14:00,70,37.5316,88.34731,59.36866,38.48861,45.2156,58.64087,33.61828,82.71079,31.30493,83.78574,36.21411,19.60662,51.15289,19.46393,78.35107,24.46423,79.93532,33.6203,
9/19/16 16:00,72,39.36905,89.37027,60.28181,39.17892,48.07053,58.91314,34.18954,82.00554,29.47315,84.96211,35.40569,20.29789,54.48804,18.50767,79.31181,24.45819,82.2085,35.171,
9/16/16 16:00,0,10.50101,11.10814,11.6749,12.09467,11.05103,11.41452,9.975151,13.19247,10.73946,11.77583,10.27712,10.06586,11.5084,12.54945,10.90872,11.56832,11.60463,13.27011,
9/16/16 18:00,2,11.42577,11.65633,12.23105,13.15124,11.21558,12.02158,11.00772,13.66194,10.67923,12.21696,10.1543,10.77598,11.55232,13.03415,11.52615,12.05414,12.68176,13.93793,
9/16/16 20:00,4,11.9006,12.41953,13.293,13.69394,11.64929,12.62121,10.7653,14.61889,10.41191,12.73072,10.66163,10.81967,11.80042,13.08747,12.27722,12.61152,13.08649,14.64083,
9/16/16 22:00,6,12.52284,13.58825,13.38639,14.07959,12.44591,13.52102,10.99081,15.69825,10.99222,13.47086,10.87647,11.51032,12.00571,13.7332,12.784,12.86404,13.58436,15.89468,
9/17/16 0:00,8,12.92143,14.59896,13.81548,14.93513,12.39214,14.54747,11.39954,16.9363,11.10528,14.81272,10.98917,11.70627,12.35418,13.7017,13.84539,13.85991,15.03243,16.36808,
9/17/16 2:00,10,13.28965,15.73936,15.71253,15.16843,13.50702,15.19577,12.94722,17.91438,11.76851,16.43201,12.0324,11.1725,13.36417,14.56137,15.07516,14.26588,16.42489,16.81368,
9/17/16 4:00,12,13.93627,16.81811,16.77237,15.80332,14.2281,15.72684,13.47078,18.60979,11.95586,17.23615,12.66363,11.37351,14.1623,14.67871,15.16808,14.57954,17.32333,17.87062,
9/17/16 6:00,14,15.23946,17.87134,17.47872,16.04186,15.34695,16.90004,14.72882,19.83123,13.22454,17.60961,12.87369,11.61193,15.34423,14.58487,16.75604,15.06543,17.61688,18.76931,
9/17/16 8:00,16,15.54784,18.76957,19.60535,16.70823,16.93106,17.61682,16.03137,20.94763,13.59653,18.44148,14.21253,11.7776,16.20699,14.74419,17.19172,15.06307,19.00226,18.80452,
9/17/16 10:00,18,16.52291,20.23889,21.05657,18.35839,18.49842,18.84743,16.72861,22.80119,15.51043,19.94347,15.09541,11.80214,18.26786,14.75642,18.98848,15.61673,20.563,19.00777,
9/17/16 12:00,20,17.50765,21.30478,22.04195,18.68059,19.50151,20.40728,18.45283,24.51192,16.56496,21.94724,16.53655,11.23692,19.13784,14.8619,20.5643,16.37348,22.64124,20.60622,
9/17/16 14:00,22,18.67494,22.27087,22.24973,18.83379,21.37149,21.65991,18.78968,25.83615,18.03712,23.88748,16.85976,12.419,19.67044,14.5624,22.39799,17.62643,24.24276,21.81351,
9/17/16 16:00,24,19.06072,23.76705,23.80794,20.33752,21.68147,22.32178,19.81524,27.66557,18.60509,24.87388,18.04829,12.15813,20.74113,15.97926,23.68343,17.27644,25.14373,21.9598,
9/17/16 18:00,26,20.64912,25.90447,23.92814,20.84498,21.61026,23.5379,20.26315,28.05656,19.22728,26.24343,18.37649,12.42442,20.91416,15.90203,25.67507,17.60289,26.35536,22.41449,
9/17/16 20:00,28,20.27976,28.0226,26.03976,21.53751,22.67585,24.12301,20.1957,29.81149,19.18049,27.00623,18.86009,12.49999,21.15233,16.14918,26.10115,17.72327,27.77117,23.28792,
9/17/16 22:00,30,21.15129,30.45486,26.44657,21.35179,23.87116,25.24456,21.2366,31.30624,20.42763,29.03388,19.07598,12.01275,22.52251,17.32125,27.0595,17.78838,28.39472,21.82609,
9/18/16 0:00,32,22.74646,32.60596,28.95118,23.07866,25.75434,27.07322,21.60423,33.01402,20.44336,30.98613,19.38477,12.60537,23.53083,17.69553,28.19162,17.45668,28.5506,22.69261,
9/18/16 2:00,34,22.45552,33.7886,30.43896,23.409,25.74813,28.13811,23.24704,35.2828,21.48028,32.27398,19.93988,12.68543,25.33917,17.12708,30.34985,17.84517,31.54134,23.87933,
9/18/16 4:00,36,24.43709,36.42285,31.27761,22.82468,25.59929,28.79489,23.20688,38.04504,21.85022,34.11833,20.12247,13.26648,25.07665,18.59075,30.22258,18.79808,34.27795,24.88656,
9/18/16 6:00,38,24.94411,37.88158,32.6199,24.69323,26.53629,29.06424,23.46627,39.2434,22.3694,37.29137,21.70285,14.08488,26.91561,18.13389,34.68911,19.79476,35.96155,25.31421,
9/18/16 8:00,40,25.65181,39.13508,34.5313,25.06582,26.63228,30.77712,24.57798,41.14876,22.40492,38.61182,21.33415,14.81279,29.08561,18.24204,33.39419,19.70039,36.99387,26.21576,
9/18/16 10:00,42,26.93449,40.17724,36.8958,25.06017,28.0541,32.25052,24.92409,43.12996,22.8998,41.51003,22.75384,14.43457,31.30209,18.61364,37.63528,20.30528,38.6,25.00021,
9/18/16 12:00,44,26.74453,45.89935,36.62165,24.9355,29.32614,33.37313,25.33026,47.11024,22.83582,43.23513,23.45835,14.64109,31.53809,18.10464,38.78944,19.72438,42.09152,26.42851,
9/18/16 14:00,46,28.89153,46.97123,39.63387,27.34697,29.94442,36.76064,24.79385,50.58654,23.33714,47.19483,23.10707,15.02287,32.63412,19.51964,42.97262,21.11979,45.66133,27.1306,
9/18/16 16:00,48,27.7531,48.95104,41.10434,27.27813,32.00807,37.39412,25.90024,50.93285,23.59485,47.19979,24.25211,16.1607,33.26207,19.12655,44.21817,21.56768,49.24575,27.64528,
9/18/16 18:00,50,30.40038,53.07088,43.31591,28.62772,32.42124,35.98901,26.66684,56.20313,23.41522,52.80006,26.13144,16.49766,35.49453,19.31258,46.26326,21.80573,50.65726,28.31859,
9/18/16 20:00,52,30.12399,55.64054,42.91695,27.87071,33.8456,40.90714,26.3891,59.00849,24.11032,53.97937,26.977,16.34395,36.63523,19.99978,52.43465,21.60913,54.97255,29.20197,
9/18/16 22:00,54,31.45175,60.44805,46.79469,29.65795,34.09763,43.69978,25.71478,59.93005,24.26347,56.89865,27.78664,15.37877,37.90935,19.92707,54.41441,22.27389,56.78969,31.82661,
9/19/16 0:00,56,32.13856,62.19055,46.33575,30.14119,35.73945,44.83071,27.47801,64.78571,24.55846,62.02897,27.85344,16.49154,37.34235,20.2981,55.65991,22.52155,61.27856,31.85612,
9/19/16 2:00,58,33.32075,66.76583,48.72695,30.81148,38.08537,45.99549,28.61765,65.59259,25.05813,64.33146,29.12586,17.25298,39.89632,20.23503,61.7487,23.1233,63.82098,32.88954,
9/19/16 4:00,60,33.97472,66.63411,49.30163,33.8068,37.41737,47.85572,28.37341,70.94894,25.66904,68.79398,28.65354,17.4568,43.63639,20.86915,62.37843,23.85004,66.45231,33.09887,
9/19/16 6:00,62,34.20955,69.9265,52.52044,34.75927,39.79964,50.06088,28.8551,73.00861,26.89821,73.70174,30.08096,16.9564,43.25169,19.9767,65.43241,24.53093,71.01516,36.01456,
9/19/16 8:00,64,35.73164,77.08007,54.24534,35.22793,39.2094,51.40884,28.937,76.79961,25.98458,76.11827,29.87783,16.25306,45.27552,20.18206,68.60326,25.29669,71.11674,33.6131,
9/19/16 10:00,66,37.74586,79.46338,58.30888,38.69725,42.42668,55.23013,32.19905,79.62138,26.95643,79.93703,33.01234,15.761,49.75391,23.09916,71.07979,24.48705,74.66579,35.58547,
9/19/16 12:00,68,36.41717,84.06311,60.29804,39.16412,42.96414,56.48866,30.68876,81.60777,27.60852,79.98083,32.7156,17.73237,48.89378,19.50162,72.29936,24.99199,77.60086,39.4952,
9/19/16 14:00,70,38.97512,86.76792,61.80207,41.63133,45.89032,57.80553,33.35408,82.64581,28.29688,84.20275,34.17869,18.35978,52.17475,23.08553,77.10687,27.4467,79.8981,42.19308,
9/19/16 16:00,72,40.16435,86.28629,64.52957,42.32579,45.42399,61.4622,32.79815,86.4088,28.74331,86.52504,33.9873,17.57813,54.34057,24.57694,78.12093,27.02345,81.02369,43.20098,
9/16/16 16:00,0,11.83776,10.897,11.84028,12.70674,11.70347,12.10211,11.57104,14.03498,11.51191,13.04022,11.74804,10.20157,11.58356,16.84398,12.69382,11.04437,10.14056,10.15375,
9/16/16 18:00,2,12.82525,11.70187,12.21233,13.37447,11.78675,12.94371,11.6041,15.00721,11.64288,13.57978,12.30403,10.80394,11.53944,17.73469,13.21545,11.59152,10.9214,10.73137,
9/16/16 20:00,4,13.1313,12.23271,12.82508,14.46883,12.28905,12.85707,11.76554,15.3814,11.68824,14.46645,12.08706,11.2192,11.5622,18.54884,14.05074,12.55209,12.03165,11.45296,
9/16/16 22:00,6,13.77107,12.82628,13.45454,14.66776,13.12376,14.06237,11.81759,16.44727,11.71561,15.23062,12.09602,10.7949,12.69825,19.65119,13.82158,13.23617,12.76178,11.82135,
9/17/16 0:00,8,14.46232,14.28843,14.21519,15.09813,14.06818,15.35623,12.8274,17.21498,12.34288,15.85453,12.48941,11.14499,13.20461,19.37649,14.86999,13.59808,13.59528,13.18974,
9/17/16 2:00,10,15.33554,15.82135,15.92369,15.63552,14.96036,16.46739,13.10722,19.02459,12.05372,17.6967,13.2442,11.01174,13.43334,18.71829,16.36752,13.56389,14.38469,13.14377,
9/17/16 4:00,12,16.72023,16.42892,16.64833,16.37016,15.64244,16.09396,14.62035,19.87701,13.42057,18.67986,13.83704,11.14933,14.55213,18.99347,17.37578,14.46574,15.85768,13.30411,
9/17/16 6:00,14,17.40032,17.72518,17.65902,16.65789,16.89451,18.18406,15.45325,19.9988,13.94612,19.82635,14.6228,11.02404,15.10879,21.28342,18.80083,14.36131,16.55978,14.28549,
9/17/16 8:00,16,18.80323,19.01006,19.63524,17.14029,18.11716,18.08569,17.30036,21.56056,15.31255,21.52567,14.75031,11.18518,16.81547,19.18382,19.18341,14.91788,17.62821,14.48234,
9/17/16 10:00,18,19.6103,19.12604,21.10535,17.54949,19.17356,18.425,18.65866,23.31999,16.31866,22.01919,16.23821,11.25709,17.74657,20.2732,21.41088,15.01292,19.05017,15.04677,
9/17/16 12:00,20,21.11315,20.92627,22.26788,19.87557,21.01882,21.07913,19.97723,24.40389,17.93206,23.58123,16.87098,11.33751,19.6207,20.75969,22.8789,15.30332,19.65896,16.99882,
9/17/16 14:00,22,21.41621,22.77119,22.85626,20.63219,21.34428,21.96672,21.4458,26.27578,19.61157,24.75653,18.55412,11.59065,20.61308,21.06927,23.14135,15.51283,22.89394,18.08766,
9/17/16 16:00,24,23.07807,23.88046,23.84871,21.4372,22.62958,23.56024,21.13154,27.33412,20.089,25.72255,19.67033,11.50973,21.65343,21.25858,25.26231,14.71364,23.12435,18.33869,
9/17/16 18:00,26,25.18286,25.16161,23.86973,22.04324,23.55724,24.35968,22.25809,27.88805,20.69064,28.45867,19.93803,11.33197,22.8021,21.90435,25.74475,16.01093,24.49357,17.65497,
9/17/16 20:00,28,25.49014,27.06109,25.96233,21.65937,23.97462,25.36408,22.33565,29.21025,20.8949,30.37012,20.43003,11.75059,22.33517,21.39935,27.31542,15.92327,25.21365,18.86514,
9/17/16 22:00,30,26.11994,29.10421,27.23668,22.44391,26.35154,26.24229,23.13894,31.59739,22.05975,31.84152,20.72828,12.20565,23.95095,21.94804,28.83396,17.43565,25.65337,17.87709,
9/18/16 0:00,32,26.14337,30.29935,28.45053,22.39064,26.81545,29.10805,23.81513,33.3742,22.32153,33.34354,20.25924,12.16099,24.93238,23.83852,29.92142,18.42417,27.69973,18.74898,
9/18/16 2:00,34,28.41749,32.88889,30.63781,22.83241,27.08574,29.43385,24.8591,35.6614,23.20408,36.00026,21.37479,12.57909,24.91105,23.78277,31.6348,18.96615,30.34511,18.03878,
9/18/16 4:00,36,28.23126,35.19084,32.57708,23.40757,28.09196,28.41351,24.96819,37.35734,23.05361,38.15101,22.09587,12.53225,25.74733,24.31479,34.6532,18.12778,31.92305,19.27598,
9/18/16 6:00,38,30.03683,36.98478,33.13321,24.90205,29.66957,32.30195,25.68338,39.35749,24.41815,39.75446,23.98273,13.25336,28.39555,25.01704,35.07914,18.7871,32.06773,20.17324,
9/18/16 8:00,40,30.1655,39.35636,34.82553,25.22024,31.17271,32.55431,26.02269,41.70349,24.60139,43.72638,22.43063,13.2886,29.21254,22.96922,37.31964,19.02223,33.31239,20.82786,
9/18/16 10:00,42,30.28879,43.61472,36.49732,25.64293,31.22436,33.83367,28.14474,44.46011,23.61192,44.85539,23.43504,13.23701,30.16779,25.13572,38.96844,19.72392,35.08884,20.69837,
9/18/16 12:00,44,32.69828,42.76104,38.54567,27.39437,31.88225,35.41261,28.17919,44.90903,23.06611,47.99302,23.9572,13.20859,31.998,27.92099,42.97117,19.23155,39.38156,21.47076,
9/18/16 14:00,46,33.2108,47.52274,40.08872,26.99898,33.86735,38.15007,27.53428,48.54145,24.9451,51.15581,24.87058,13.03679,33.49004,26.54812,47.03161,20.38031,41.38319,22.22254,
9/18/16 16:00,48,34.59077,48.02271,41.38857,28.56366,34.74979,37.19065,29.28733,48.76708,24.78527,53.06074,26.15801,13.24222,33.60036,23.30085,49.07531,19.56026,45.65805,23.19768,
9/18/16 18:00,50,35.7304,52.38042,41.97263,28.86987,36.50079,39.83971,29.44785,52.93721,24.68071,56.35436,26.53236,13.65068,35.97998,25.78598,50.44051,21.13687,47.19752,24.05072,
9/18/16 20:00,52,37.83456,55.76318,44.69171,30.62821,37.73496,41.46564,30.41673,56.90894,25.60218,61.69308,27.69684,14.01344,36.77843,27.98877,52.34978,20.8548,49.97915,23.89044,
9/18/16 22:00,54,37.26047,57.10013,47.25009,31.97358,37.11864,42.94093,31.38403,60.41392,25.82385,63.38089,27.14146,13.61801,39.63861,27.00436,59.02084,21.51966,56.1589,24.90298,
9/19/16 0:00,56,37.57148,59.76381,48.9977,32.4066,37.55638,46.14763,30.19337,60.98673,26.22676,65.11505,29.61542,13.68784,36.82937,25.86188,61.12233,21.95227,56.56641,26.2583,
9/19/16 2:00,58,39.5281,64.91013,52.00859,33.9115,38.28885,46.85564,31.26225,66.83427,26.43083,69.80507,28.00102,15.45967,41.60206,29.17256,64.17293,22.79318,61.45255,27.26371,
9/19/16 4:00,60,39.5322,69.62994,52.6732,34.3704,40.39401,48.5322,31.80904,69.7006,28.06113,72.55594,29.76601,14.70421,42.66563,26.38137,67.45454,22.91998,62.85454,28.49321,
9/19/16 6:00,62,41.21691,72.61106,56.29313,35.24702,42.34152,52.91892,31.73287,70.87807,27.19526,77.73533,31.59729,13.35699,45.27802,28.70437,66.97881,23.33312,68.64009,28.61056,
9/19/16 8:00,64,41.34075,75.81403,57.92111,36.25208,43.25835,52.60031,32.76841,75.23031,26.75115,77.7654,30.70228,13.54741,45.71034,28.75387,72.78011,24.44656,69.63994,29.45118,
9/19/16 10:00,66,44.15108,80.68819,57.977,39.3305,46.19168,55.34774,34.6529,75.40635,28.67605,79.90849,33.15237,15.53178,47.39011,29.6474,77.51402,26.55515,71.98743,32.57163,
9/19/16 12:00,68,45.37062,83.34461,62.23517,41.00157,46.67958,56.14497,34.44712,79.92822,28.35783,84.00721,33.78448,15.46527,51.49976,32.37252,77.09444,25.80398,72.57075,34.78542,
9/19/16 14:00,70,44.87925,86.32413,63.6542,43.25766,48.99849,61.99366,36.90776,82.8952,30.34474,85.08174,35.04199,16.70797,53.69279,32.77686,82.14687,26.67928,78.65683,36.65823,
9/19/16 16:00,72,48.81732,87.38989,64.93617,42.45695,48.61267,60.76201,35.49976,83.50951,30.1336,88.0863,37.55964,17.22927,54.02154,32.34621,83.35796,28.32217,80.05429,38.31297,