Plate,Drug,Dose,pcJun,pMET,pEGFR,pHER2,pIGFR1,pIR,pAXL,pHER3,pHER4,BCA
1,Erlotinib,10,49,490,9,16,10,12,33,14,21,0.2928
1,Erlotinib,10,39.5,416,9,15,10,13,21.5,13,19,0.2808
1,R428,3,24,1009.5,18,18,11,14,30.5,53,19,0.3004
1,R428,3,24,852,14,16,11,14,27,45.5,18,0.3078
1,buffer,0,10,9,8,26,11,10,23.5,9,23,0.0703
1,Erlotinib,5,48,580,9,16,10,12,33.5,13,19,0.2856
1,Erlotinib,5,53,597.5,10,17,10,14,33,15,22,0.3213
1,R428,2,28,1201.5,26,18,10,13,28,65,17,0.2833
1,R428,2,30,1217.5,18,18,11,14,32,72.5,20,0.3033
1,buffer,0,10,7,7,23,11,9,22,9,20,0.0688
1,Erlotinib,2.5,43.5,858.5,13,17,11,14,29.5,16,22,0.2707
1,Erlotinib,2.5,39.5,579,11,17,10,13,31,15,20,0.3075
1,R428,1.333,34,1362,24,20,11,13,29,77,19,0.2871
1,R428,1.333,38.5,1146.5,14.5,17,11,14,33,77,20,0.2985
1,buffer,0,10,7,7,33,12,9,23,9,25,0.069
1,Erlotinib,1.25,52,625,13,17,11,14,37.5,16,21,0.2781
1,Erlotinib,1.25,55,644,13,18,11,14,30,16,23,0.2976
1,R428,0.889,41,1164.5,16,18,10,12,31,58.5,18,0.2914
1,R428,0.889,40,1163,13,17,9,12,28,70,19,0.3078
1,Erlotinib,0.625,45.5,631,14,16,10,13,33,14,19.5,0.2784
1,Erlotinib,0.625,49,568,14,16,10,13,30,15,22,0.3469
1,R428,0.593,65,1504.5,15,18,11,13,29.5,78,18,0.2882
1,R428,0.593,51,1302.5,13,19,11,14,31,80.5,20,0.2909
1,Erlotinib,0.313,49,784,13,16,9,12,26,15,20.5,0.2771
1,Erlotinib,0.313,49,700,14,17,10,12,32,15,22,0.3061
1,R428,0.395,68,1743,25,23,10,12,31,91,19,0.2793
1,R428,0.395,68,1356,16,19,9,12,27,98,21,0.2792
1,Erlotinib,0.156,57,512,12,16,10,12,33,15,20,0.2668
1,Erlotinib,0.156,52,491,15,19,12,14,29.5,18,23,0.2781
1,R428,0.263,73,1555,13,22,10,15,28,93.5,27,0.2956
1,R428,0.263,61,1327,15,20,10,14,26,89,23,0.2657
1,Erlotinib,0.078,54,560,15,20,12,15,37,19,24.5,0.266
1,Erlotinib,0.078,56,497,13,18,11,14,32,18,21,0.2953
1,R428,0.176,60,1298,15,37.5,10,13,34,98,17,0.282
1,R428,0.176,96.5,1031,15,19,10,13,30,74.5,20,0.2705
1,Erlotinib,0.039,55,702,16,18,10,12,33,20,21,0.2803
1,Erlotinib,0.039,52,504,14,17,10,12,30,19,21,0.2758
1,R428,0.117,82,1272.5,19,22,12,16,31,94,23,0.2982
1,R428,0.117,114.5,1170,13,19,10,13,27,81,22,0.2855
1,Erlotinib,0.02,47,517.5,14,16,10,12.5,33,19,20,0.2699
1,Erlotinib,0.02,44.5,460,15,17,12,15,32,20,19,0.2533
1,R428,0.078,56,1051,46,24,12,15,28,85,21,0.2738
1,R428,0.078,86,1234,26,22,10,13,29.5,77,20,0.2669
1,Erlotinib,0.01,41.5,476.5,19,16,10,12,31,21,18.5,0.2583
1,Erlotinib,0.01,39.5,456.5,19,18,11,13,30,22,21,0.2512
1,R428,0.052,61,986,21,17.5,9,12,29,63,18,0.2572
1,R428,0.052,78,977.5,18,18,10,13,29,70,19,0.2639
1,Erlotinib,0,84,626,54,25,10,13,31,82,19,0.2722
1,Erlotinib,0,70,496,19,19,10,13,29,62,17,0.2573
1,R428,0,62.5,988,74,25,11,14,32.5,69,18,0.2893
1,R428,0,76.5,810,66,21,10,13,29,74,15,0.2635
2,JNK-IN-7,5,23,807,13,19,11,15,25,60,23,0.2727
2,JNK-IN-7,5,19,451,14,19,12,16,33,34,20,0.2971
2,U0126,20,79,600,11,14,10,15,27,52,16,0.2839
2,U0126,20,82,875,12,15,10,15,28,69.5,17,0.2928
2,buffer,0,8,7,7,30.5,84,13,20,10,26,0.0775
2,JNK-IN-7,3.333,21,781,13,20,10,14,28.5,50,24,0.262
2,JNK-IN-7,3.333,19.5,520,11,15,10,13,26,39,18,0.2728
2,U0126,13.333,103.5,1247,13,18,9,14.5,31,97,21,0.2642
2,U0126,13.333,91,984,12,15,10,15,26,71,18,0.2759
2,buffer,0,6,8,7,28.5,173.5,13.5,23,10,24,0.0725
2,JNK-IN-7,2.222,24,461,11,15,10,13,23.5,49,16,0.2789
2,JNK-IN-7,2.222,22,460,13,17,11,14,26,50,18,0.2741
2,U0126,8.889,92,1121,12,16,10,14,30,85,16.5,0.268
2,U0126,8.889,87,910.5,11,16,10,14.5,30.5,72,17,0.2753
2,buffer,0,8,8,7,30,230,12,19,10,22,0.0665
2,JNK-IN-7,1.481,30,373.5,11,14.5,9,11.5,24.5,43,14.5,0.2888
2,JNK-IN-7,1.481,26,362,12,16,10,13,20.5,41,15,0.2844
2,U0126,5.926,93,708,11,16,10,15,30,84,18.5,0.2735
2,U0126,5.926,79,736,11,15,11,13.5,31,67.5,17,0.2735
2,JNK-IN-7,0.988,34.5,621,12,18,10,15,32.5,63,22,0.2861
2,JNK-IN-7,0.988,41.5,374.5,12,17,11,15,34,48,19,0.2807
2,U0126,3.951,101,758,10,15,9,13,28.5,86,19,0.2514
2,U0126,3.951,83,701,11,15,10,12,30,67,18,0.2857
2,JNK-IN-7,0.658,49.5,660,12,17,10,14,28,65,22,0.2732
2,JNK-IN-7,0.658,42,636,12,17,10,14,27,58.5,20,0.2689
2,U0126,2.634,102,638.5,12,16,9,13,28,73,16,0.251
2,U0126,2.634,97,773,11,15,9,13.5,25,76.5,17,0.2692
2,JNK-IN-7,0.439,41.5,554,11,14,10,13,29,49,19,0.286
2,JNK-IN-7,0.439,56.5,535.5,12,17,10,15,32,49,20,0.2906
2,U0126,1.756,91,911,11,16,9,14,28,82,18,0.2655
2,U0126,1.756,60,747,11,15,10,13,31,52,15,0.2321
2,JNK-IN-7,0.293,57.5,722,12,19,10,13,28,63,21,0.2816
2,JNK-IN-7,0.293,58.5,578.5,12,18,9,12,34,58,19,0.2746
2,U0126,1.171,84,1104,12,16,10,13,31,88,18,0.26
2,U0126,1.171,64,813,11,15,10,13,28.5,63,14,0.2665
2,JNK-IN-7,0.195,66,562,11,17,10,13,27,59,16,0.2911
2,JNK-IN-7,0.195,71,667,11,17,10,12,27.5,63,19,0.2785
2,U0126,0.78,97,999,11,18,10,13,34,107,21,0.273
2,U0126,0.78,73,837,12,15,9,14,30,91,19,0.2809
2,JNK-IN-7,0.13,51.5,612.5,11,17,10,13,27,51,17,0.2939
2,JNK-IN-7,0.13,46,731.5,11,18,10,13,36,52,20,0.255
2,U0126,0.52,85,817.5,11,17,9,12,29,71,19,0.2607
2,U0126,0.52,66,626.5,11,15,9,13,26.5,58,16,0.2851
2,JNK-IN-7,0.087,56,703,13,19,11,16,32,54,20,0.2938
2,JNK-IN-7,0.087,58,653,11,18,10,15,27,55,23,0.2746
2,U0126,0.347,69,810.5,10,15,9,13,27.5,79,17,0.2616
2,U0126,0.347,44.5,819,11,17,10,13,26,77,16,0.2751
2,JNK-IN-7,0,54,647.5,14,19,12,14,31,75,18,0.276
2,JNK-IN-7,0,69.5,716,11,17,10,14,28,77,18,0.2698
2,U0126,0,56.5,847,12,16,10,12,27.5,67,17,0.2789
2,U0126,0,48,979,12,19,10,13,26,92,17,0.2613